annee_numero_de_tirage;jour_de_tirage;date_de_tirage;numéro_de_tirage_dans_le_cycle;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_Euro_Millions_en_france;nombre_de_gagnant_au_rang1_Euro_Millions_en_europe;rapport_du_rang1_Euro_Millions;nombre_de_gagnant_au_rang2_Euro_Millions_en_france;nombre_de_gagnant_au_rang2_Euro_Millions_en_europe;rapport_du_rang2_Euro_Millions;nombre_de_gagnant_au_rang3_Euro_Millions_en_france;nombre_de_gagnant_au_rang3_Euro_Millions_en_europe;rapport_du_rang3_Euro_Millions;nombre_de_gagnant_au_rang4_Euro_Millions_en_france;nombre_de_gagnant_au_rang4_Euro_Millions_en_europe;rapport_du_rang4_Euro_Millions;nombre_de_gagnant_au_rang5_Euro_Millions_en_france;nombre_de_gagnant_au_rang5_Euro_Millions_en_europe;rapport_du_rang5_Euro_Millions;nombre_de_gagnant_au_rang6_Euro_Millions_en_france;nombre_de_gagnant_au_rang6_Euro_Millions_en_europe;rapport_du_rang6_Euro_Millions;nombre_de_gagnant_au_rang7_Euro_Millions_en_france;nombre_de_gagnant_au_rang7_Euro_Millions_en_europe;rapport_du_rang7_Euro_Millions;nombre_de_gagnant_au_rang8_Euro_Millions_en_france;nombre_de_gagnant_au_rang8_Euro_Millions_en_europe;rapport_du_rang8_Euro_Millions;nombre_de_gagnant_au_rang9_Euro_Millions_en_france;nombre_de_gagnant_au_rang9_Euro_Millions_en_europe;rapport_du_rang9_Euro_Millions;nombre_de_gagnant_au_rang10_Euro_Millions_en_france;nombre_de_gagnant_au_rang10_Euro_Millions_en_europe;rapport_du_rang10_Euro_Millions;nombre_de_gagnant_au_rang11_Euro_Millions_en_france;nombre_de_gagnant_au_rang11_Euro_Millions_en_europe;rapport_du_rang11_Euro_Millions;nombre_de_gagnant_au_rang12_Euro_Millions_en_france;nombre_de_gagnant_au_rang12_Euro_Millions_en_europe;rapport_du_rang12_Euro_Millions;nombre_de_gagnant_au_rang13_Euro_Millions_en_france;nombre_de_gagnant_au_rang13_Euro_Millions_en_europe;rapport_du_rang13_Euro_Millions;nombre_de_gagnant_au_rang1_Etoile+;rapport_du_rang1_Etoile+;nombre_de_gagnant_au_rang2_Etoile+;rapport_du_rang2_Etoile+;nombre_de_gagnant_au_rang3_Etoile+;rapport_du_rang3_Etoile+;nombre_de_gagnant_au_rang4_Etoile+;rapport_du_rang4_Etoile+;nombre_de_gagnant_au_rang5_Etoile+;rapport_du_rang5_Etoile+;nombre_de_gagnant_au_rang6_Etoile+;rapport_du_rang6_Etoile+;nombre_de_gagnant_au_rang7_Etoile+;rapport_du_rang7_Etoile+;nombre_de_gagnant_au_rang8_Etoile+;rapport_du_rang8_Etoile+;nombre_de_gagnant_au_rang9_Etoile+;rapport_du_rang9_Etoile+;nombre_de_gagnant_au_rang10_Etoile+;rapport_du_rang10_Etoile+;numero_My_Million;numero_Tirage_Exceptionnel_Euro_Million;
20200050;MARDI   ;23/06/2020;3;22/09/2020;19;46;49;12;2;8;1;-2-12-19-46-49-;-1-8-;0;0;0;0;0;0;1;0;201011,8;2;0;1694,4;90;0;134,5;252;0;60,6;231;0;43,4;3302;0;15,3;4649;0;12,1;10940;0;9,7;17211;0;7,1;68034;0;5,7;156054;0;4;0;0;1;1216,6;20;33,7;86;7,8;1158;1,4;1601;2,8;5846;3,6;9383;10,5;23069;2,4;191079;2,5;BD 519 4518;;
20200049;VENDREDI;19/06/2020;2;18/09/2020;14;5;24;43;19;3;11;-5-14-19-24-43-;-3-11-;0;0;0;0;4;157456,5;2;8;18400;7;35;1309,9;147;744;113,5;311;1537;58;377;1722;36,4;3961;20217;15,5;6692;33500;10,4;16332;76928;8,4;19943;103921;7,5;93132;466080;5,3;228226;1083585;3,6;0;0;2;782,1;46;18,8;109;7,9;1341;1,6;2241;2,5;6845;3,9;10531;12;31138;2,3;233723;2,7;SD 890 4120;;
20200048;MARDI   ;16/06/2020;1;15/09/2020;39;9;11;4;17;2;10;-4-9-11-17-39-;-2-10-;0;0;0;0;2;228917,4;1;4;26750,8;4;16;2083;128;636;96,5;230;1128;57,5;378;1656;27,5;3256;15600;14,6;5517;26331;9,6;14398;68380;6,9;16006;76193;7,5;71327;353669;5,1;178563;879179;3,3;0;0;1;1176;39;16,7;92;7,1;1192;1,3;1942;2,2;5964;3,4;8813;10,8;24775;2,1;176330;2,6;GJ 375 0766;;
20200047;VENDREDI;12/06/2020;4;11/09/2020;24;39;46;2;45;4;8;-2-24-39-45-46-;-4-8-;0;1;51583717;0;2;337141,5;1;3;52530,3;8;38;1291,7;83;565;160;310;1564;61,1;199;1158;58;4712;23702;14,1;5132;26919;13,9;10696;58277;11,9;28909;142367;5,9;81550;419915;6,3;175492;911820;4,7;0;0;4;423,1;32;29,3;88;10,6;1517;1,5;1706;3,6;9261;3,1;17661;7,7;27308;2,8;294256;2,3;TI 890 2631;;
20200046;MARDI   ;09/06/2020;3;08/09/2020;46;36;27;5;15;8;2;-5-15-27-36-46-;-2-8-;0;0;0;1;3;165913,8;0;2;58165,1;10;33;1098;83;550;121,3;262;1427;49,4;164;1095;45,2;4274;22240;11,1;4259;23196;11,9;9336;51249;10;23954;120489;5,1;67457;352621;5,5;144730;765947;4,1;1;692,9;5;110,8;26;26,6;94;7,3;1492;1,1;1471;3,1;8264;2,6;14182;7,1;22899;2,4;209867;2,4;BV 585 0710;;
20200045;VENDREDI;05/06/2020;2;04/09/2020;24;11;37;17;5;6;3;-5-11-17-24-37-;-3-6-;0;0;0;0;3;211081,7;0;11;13454,5;13;67;688;254;1100;77,1;599;2434;36,8;448;2165;29,1;7135;31131;10,1;8812;42614;8,2;17509;84690;7,7;33144;149368;5,3;112688;545858;4,5;224871;1102940;3,6;0;0;3;521,5;77;11,2;164;5,3;2361;0,9;2768;2,1;10863;2,5;16171;7,8;36912;1,9;256110;2,4;OK 201 3475;;
20200044;MARDI   ;02/06/2020;1;01/09/2020;49;22;12;26;10;11;7;-10-12-22-26-49-;-7-11-;0;0;0;1;5;87507,8;2;9;11362,2;3;17;1873,6;132;547;107,2;209;1020;60,8;313;1288;33,8;2882;14935;14,5;5069;23592;10,3;11295;53698;8,4;14230;77349;7;67595;328824;5,2;150717;745473;3,7;0;0;0;0;39;43,4;73;8,2;1042;1,4;1771;2,2;5075;3,7;8157;10,8;23832;2;174043;2,5;FR 608 3244;;
20200043;VENDREDI;29/05/2020;1;28/08/2020;4;11;8;46;19;4;8;-4-8-11-19-46-;-4-8-;0;1;17000000;2;5;116611,2;5;13;10482,2;47;137;309,8;203;897;87,1;909;3574;23,1;421;1730;33,5;7580;33182;8,7;8918;37668;8,5;16672;74615;8;27287;134296;5,4;104859;492834;4,6;205739;984731;3,7;0;0;20;72,7;72;11,2;303;2,6;2467;0,8;2981;1,8;8878;2,8;12465;9,4;35096;1,9;222958;2,6;MO 301 6631;;
20200042;MARDI   ;26/05/2020;3;25/08/2020;9;4;27;14;21;4;6;-4-9-14-21-27-;-4-6-;1;2;18571740;0;5;92895,4;2;6;18092,6;18;63;536,7;226;999;62,3;480;1993;33;412;1869;24,7;5468;24082;9,6;7345;33423;7,7;14138;67756;7;23358;106041;5,4;81565;400538;4,5;166638;842619;3,5;0;0;4;286,8;83;7,6;158;4;1901;0,8;2529;1,6;7990;2,5;11261;8,2;28189;1,8;178616;2,5;FV 414 5061;;
20200041;VENDREDI;22/05/2020;2;21/08/2020;18;22;32;3;27;2;7;-3-18-22-27-32-;-2-7-;0;0;0;0;0;0;0;13;55708,2;9;53;806,2;150;842;93,4;557;2454;33,9;240;1496;39;7445;33462;8,7;7017;36228;9;12765;69537;8,7;35907;158062;4,6;99263;501467;4,6;180411;970867;3,8;0;0;3;469,1;49;15,9;171;4,5;2443;0,8;2285;2,2;11694;2,1;16640;6,8;32521;1,9;244998;2,3;ND 876 1904;;
